sentence,label,speaker,has_modal,has_name,is_imperative
The slides schedule ends on Tuesday.,deadline_mention,SPEAKER_00,0,0,0
Let's talk about the design just approach.,topic,SPEAKER_03,0,0,0
They always finish the architecture late.,general,SPEAKER_00,0,0,0
The decision probably is to update the plan.,decision,SPEAKER_00,0,0,0
"David, draft definitely the wireframes today.",action_item,SPEAKER_04,0,0,0
This must be ready by Thursday.,deadline_mention,SPEAKER_02,0,0,0
I usually review reports actually on Fridays.,general,SPEAKER_02,0,0,0
Can David verify the code?,deadline_mention,SPEAKER_02,0,0,0
"David, send the budget just today.",action_item,SPEAKER_02,0,0,0
We're choosing the campaign approach.,decision,SPEAKER_03,0,0,0
Did Emma review the slides?,general,SPEAKER_01,0,0,0
We expect you know the code by Wednesday.,deadline_mention,SPEAKER_02,0,0,0
They always review maybe the slides late.,general,SPEAKER_04,0,0,0
We I mean expect the wireframes by Friday.,deadline_mention,SPEAKER_00,0,0,0
We expect the wireframes by next week.,deadline_mention,SPEAKER_00,0,0,0
We you know expect the report by Wednesday.,deadline_mention,SPEAKER_00,0,0,0
The main topic today is just the report.,topic,SPEAKER_04,0,0,0
Can Mike review the plan?,action_item,SPEAKER_02,0,0,0
Turning our you know attention to the architecture.,topic,SPEAKER_03,0,0,0
Regarding actually the architecture design.,deadline_mention,SPEAKER_01,0,0,0
Could you please forward that wireframes kind of to Priya?,topic,SPEAKER_01,0,0,0
Make sure to deliver basically the slides by Friday.,action_item,SPEAKER_04,0,0,0
The I mean decision is to create the slides.,decision,SPEAKER_00,0,0,0
This must be ready just by Thursday.,deadline_mention,SPEAKER_00,0,0,0
The decision definitely is to update the campaign.,decision,SPEAKER_00,0,0,0
The target basically delivery is Tuesday.,deadline_mention,SPEAKER_02,0,0,0
Moving basically on to the plan.,topic,SPEAKER_00,0,0,0
"Sarah, create the wireframes today.",action_item,SPEAKER_03,0,0,0
The I mean main topic today is the slides.,topic,SPEAKER_01,0,0,0
She kind of didn't check the campaign.,general,SPEAKER_00,0,0,0
Make sure like to deliver the slides by EOD.,action_item,SPEAKER_03,0,0,0
"John, create the design today.",action_item,SPEAKER_03,0,0,0
Let's I mean discuss our decision on the budget.,topic,SPEAKER_04,0,0,0
I usually maybe update reports on Fridays.,general,SPEAKER_01,0,0,0
I need you to finish this slides.,action_item,SPEAKER_02,0,0,0
Make sure to verify the plan before Tuesday.,action_item,SPEAKER_03,0,0,0
Let's discuss our decision on the kind of code.,topic,SPEAKER_02,0,0,0
It maybe is due Tuesday.,deadline_mention,SPEAKER_03,0,0,0
Make sure to finish the design before Monday.,action_item,SPEAKER_02,0,0,0
The next agenda basically item is the code plan.,topic,SPEAKER_02,0,0,0
Make sure to deliver the architecture before Tuesday.,action_item,SPEAKER_00,0,0,0
We expect the wireframes by Friday.,deadline_mention,SPEAKER_01,0,0,0
I need you know you to verify this copy.,action_item,SPEAKER_02,0,0,0
We're choosing the slides approach.,decision,SPEAKER_04,0,0,0
We actually expect the budget by Friday.,deadline_mention,SPEAKER_00,0,0,0
It's agreed that we will draft the maybe campaign.,decision,SPEAKER_04,0,0,0
Make sure to verify the slides before Thursday.,deadline_mention,SPEAKER_04,0,0,0
Did Raj draft the like budget?,general,SPEAKER_02,0,0,0
Moving on to the maybe architecture.,deadline_mention,SPEAKER_02,0,0,0
Cutoff for the architecture is Tuesday.,deadline_mention,SPEAKER_04,0,0,0
This must be ready by actually Thursday.,deadline_mention,SPEAKER_00,0,0,0
So we're going with the new basically campaign.,decision,SPEAKER_03,0,0,0
Did definitely Priya draft the architecture?,general,SPEAKER_00,0,0,0
It is due kind of Friday.,deadline_mention,SPEAKER_04,0,0,0
Can Raj deliver like the plan?,action_item,SPEAKER_01,0,0,0
To create the plan takes a lot of time.,general,SPEAKER_02,0,0,0
So we're going with probably the new budget.,topic,SPEAKER_04,0,0,0
The target delivery is like Thursday.,deadline_mention,SPEAKER_02,0,0,0
Cutoff for the plan is EOD.,deadline_mention,SPEAKER_01,0,0,0
Regarding I mean the campaign design.,topic,SPEAKER_01,0,0,0
The target I mean delivery is tomorrow.,topic,SPEAKER_02,0,0,0
Could you please forward like that copy to John?,action_item,SPEAKER_03,0,0,0
I usually deliver like reports on Fridays.,general,SPEAKER_03,0,0,0
I need you to verify this design.,action_item,SPEAKER_04,0,0,0
We're basically choosing the campaign approach.,decision,SPEAKER_03,0,0,0
The decision is to definitely deliver the budget.,topic,SPEAKER_02,0,0,0
Make sure to finish the wireframes before end probably of week.,action_item,SPEAKER_04,0,0,0
We are moving actually forward with the campaign plan.,decision,SPEAKER_00,0,0,0
It is definitely due tomorrow.,deadline_mention,SPEAKER_01,0,0,0
This must be actually ready by Friday.,deadline_mention,SPEAKER_02,0,0,0
Cutoff for the report is definitely Thursday.,deadline_mention,SPEAKER_00,0,0,0
We expect the code by like Wednesday.,deadline_mention,SPEAKER_02,0,0,0
Please probably finish the campaign by Friday.,action_item,SPEAKER_03,0,0,0
Let's talk about the probably code approach.,topic,SPEAKER_01,0,0,0
Turning kind of our attention to the code.,topic,SPEAKER_04,0,0,0
Regarding the maybe architecture design.,topic,SPEAKER_01,0,0,0
Make sure to deliver the budget by EOD.,action_item,SPEAKER_04,0,0,0
Could you please forward that plan to Nina?,action_item,SPEAKER_03,0,0,0
The campaign actually schedule ends on end of week.,deadline_mention,SPEAKER_01,0,0,0
The next agenda item is you know the slides plan.,topic,SPEAKER_01,0,0,0
It basically is due EOD.,deadline_mention,SPEAKER_00,0,0,0
I don't think we need to deliver probably the copy.,general,SPEAKER_01,0,0,0
I need you to review this wireframes.,action_item,SPEAKER_00,0,0,0
It actually is due Friday.,deadline_mention,SPEAKER_00,0,0,0
It's agreed that we will check the report.,decision,SPEAKER_00,0,0,0
"If you review the budget, let me know.",general,SPEAKER_02,0,0,0
"If you deliver the slides, let definitely me know.",general,SPEAKER_00,0,0,0
Let's discuss maybe our decision on the copy.,topic,SPEAKER_04,0,0,0
Let's like discuss our decision on the report.,topic,SPEAKER_00,0,0,0
We have decided to go with the new plan.,decision,SPEAKER_04,0,0,0
To verify the copy takes a lot of time.,general,SPEAKER_00,0,0,0
The target delivery is basically Friday.,deadline_mention,SPEAKER_00,0,0,0
We are definitely moving forward with the campaign plan.,decision,SPEAKER_00,0,0,0
Did Raj review the report?,general,SPEAKER_02,0,0,0
Cutoff for the campaign actually is tomorrow.,deadline_mention,SPEAKER_03,0,0,0
We expect the just copy by Wednesday.,deadline_mention,SPEAKER_03,0,0,0
Our final choice is the plan definitely design.,decision,SPEAKER_01,0,0,0
The slides schedule probably ends on Monday.,deadline_mention,SPEAKER_03,0,0,0
I usually update reports on maybe Fridays.,general,SPEAKER_04,0,0,0
Turning our kind of attention to the slides.,topic,SPEAKER_00,0,0,0
Regarding the budget maybe design.,topic,SPEAKER_03,0,0,0
She didn't deliver the wireframes.,general,SPEAKER_00,0,0,0
We settled on option definitely John.,decision,SPEAKER_00,0,0,0
The main topic today is just the wireframes.,deadline_mention,SPEAKER_01,0,0,0
The deadline for the campaign is EOD.,deadline_mention,SPEAKER_04,0,0,0
I don't think we need to draft the report.,general,SPEAKER_01,0,0,0
The code schedule ends on Monday.,topic,SPEAKER_00,0,0,0
The next agenda item is the like report plan.,topic,SPEAKER_00,0,0,0
The deadline for the copy is Wednesday.,deadline_mention,SPEAKER_00,0,0,0
"If you review the architecture, like let me know.",general,SPEAKER_01,0,0,0
Did David create the report?,general,SPEAKER_00,0,0,0
I don't think we need to review probably the architecture.,general,SPEAKER_00,0,0,0
I am not sure if I can prepare it.,general,SPEAKER_02,0,0,0
It's agreed that we will actually update the campaign.,decision,SPEAKER_01,0,0,0
Did John deliver the maybe plan?,general,SPEAKER_02,0,0,0
We expect just the slides by Wednesday.,deadline_mention,SPEAKER_04,0,0,0
Let's discuss our decision like on the copy.,topic,SPEAKER_01,0,0,0
Make sure to deliver the budget by next week.,action_item,SPEAKER_03,0,0,0
"David, finish the design definitely today.",action_item,SPEAKER_03,0,0,0
We're like choosing the budget approach.,decision,SPEAKER_02,0,0,0
I am not sure if I can definitely verify it.,general,SPEAKER_03,0,0,0
I don't think we need to draft actually the wireframes.,general,SPEAKER_01,0,0,0
I need you to create this budget.,action_item,SPEAKER_04,0,0,0
So we're going with the kind of new budget.,decision,SPEAKER_00,0,0,0
We need like to cover the wireframes.,topic,SPEAKER_03,0,0,0
We are moving forward actually with the budget plan.,decision,SPEAKER_02,0,0,0
The main topic today probably is the wireframes.,topic,SPEAKER_04,0,0,0
Did John probably send the report?,general,SPEAKER_03,0,0,0
This must be ready just by tomorrow.,deadline_mention,SPEAKER_00,0,0,0
Can you know John draft the slides?,action_item,SPEAKER_00,0,0,0
Our final choice is the basically wireframes design.,decision,SPEAKER_02,0,0,0
We kind of are moving forward with the report plan.,decision,SPEAKER_02,0,0,0
Make sure to review the campaign before Thursday.,action_item,SPEAKER_00,0,0,0
Make sure to you know deliver the architecture by Tuesday.,action_item,SPEAKER_03,0,0,0
Don't forget to prepare definitely the budget.,action_item,SPEAKER_00,0,0,0
We you know need to cover the code.,topic,SPEAKER_00,0,0,0
"Priya, finish the copy today.",action_item,SPEAKER_04,0,0,0
I need you to update this wireframes.,action_item,SPEAKER_00,0,0,0
Regarding the campaign just design.,topic,SPEAKER_02,0,0,0
The design schedule ends on Friday.,deadline_mention,SPEAKER_01,0,0,0
The architecture schedule definitely ends on Wednesday.,deadline_mention,SPEAKER_02,0,0,0
The next agenda item is the kind of budget plan.,topic,SPEAKER_00,0,0,0
"Sarah, check definitely the budget today.",action_item,SPEAKER_00,0,0,0
The slides schedule ends on EOD.,deadline_mention,SPEAKER_03,0,0,0
We expect definitely the plan by Wednesday.,deadline_mention,SPEAKER_04,0,0,0
Did John prepare definitely the design?,general,SPEAKER_02,0,0,0
So we're going with the maybe new budget.,decision,SPEAKER_00,0,0,0
Could you probably please forward that wireframes to Priya?,action_item,SPEAKER_02,0,0,0
We're choosing the just design approach.,decision,SPEAKER_04,0,0,0
The deadline for the campaign I mean is Monday.,deadline_mention,SPEAKER_00,0,0,0
We I mean settled on option Priya.,decision,SPEAKER_02,0,0,0
Let's discuss our maybe decision on the slides.,topic,SPEAKER_00,0,0,0
We need to cover definitely the plan.,topic,SPEAKER_02,0,0,0
Don't forget to definitely prepare the architecture.,action_item,SPEAKER_02,0,0,0
We're choosing kind of the plan approach.,action_item,SPEAKER_01,0,0,0
It's agreed that we will I mean prepare the report.,decision,SPEAKER_00,0,0,0
The target delivery is Tuesday.,deadline_mention,SPEAKER_00,0,0,0
Can John send the wireframes?,topic,SPEAKER_00,0,0,0
Make sure actually to draft the copy before Monday.,decision,SPEAKER_01,0,0,0
Did Nina deliver the actually copy?,general,SPEAKER_01,0,0,0
We need to cover the I mean wireframes.,topic,SPEAKER_02,0,0,0
Don't forget to review the copy.,action_item,SPEAKER_02,0,0,0
We maybe need to cover the slides.,topic,SPEAKER_03,0,0,0
Don't forget to verify the slides.,topic,SPEAKER_01,0,0,0
"Priya, create the you know budget today.",action_item,SPEAKER_02,0,0,0
Make sure actually to prepare the slides before Monday.,action_item,SPEAKER_03,0,0,0
The main topic today is the budget.,topic,SPEAKER_00,0,0,0
We are moving forward with like the architecture plan.,decision,SPEAKER_02,0,0,0
They always like review the plan late.,deadline_mention,SPEAKER_04,0,0,0
It's agreed that we will prepare the budget.,general,SPEAKER_01,0,0,0
Can Raj deliver the report?,action_item,SPEAKER_03,0,0,0
We have decided to go with the I mean new design.,decision,SPEAKER_01,0,0,0
Please create the architecture by Wednesday.,action_item,SPEAKER_04,0,0,0
Please send the slides by Monday.,action_item,SPEAKER_01,0,0,0
Let's talk just about the code approach.,topic,SPEAKER_01,0,0,0
Make sure to check the plan before EOD.,action_item,SPEAKER_00,0,0,0
So we're going with maybe the new architecture.,general,SPEAKER_01,0,0,0
Cutoff for the report is Tuesday.,deadline_mention,SPEAKER_02,0,0,0
We're maybe choosing the code approach.,decision,SPEAKER_04,0,0,0
I usually deliver reports on basically Fridays.,general,SPEAKER_04,0,0,0
To update definitely the budget takes a lot of time.,general,SPEAKER_01,0,0,0
To create the campaign takes a lot of time.,general,SPEAKER_04,0,0,0
We're choosing just the architecture approach.,decision,SPEAKER_02,0,0,0
Let's discuss our decision on definitely the campaign.,topic,SPEAKER_00,0,0,0
We have decided to go maybe with the new report.,decision,SPEAKER_02,0,0,0
"If you send the slides, let me know.",general,SPEAKER_02,0,0,0
So we're going with the definitely new architecture.,decision,SPEAKER_00,0,0,0
I don't think I mean we need to draft the architecture.,general,SPEAKER_00,0,0,0
The deadline for the campaign is Thursday.,deadline_mention,SPEAKER_01,0,0,0
It's agreed that we will draft the like budget.,decision,SPEAKER_03,0,0,0
We're choosing basically the architecture approach.,decision,SPEAKER_04,0,0,0
Cutoff for the budget is Tuesday.,deadline_mention,SPEAKER_02,0,0,0
Turning probably our attention to the budget.,topic,SPEAKER_01,0,0,0
Could you please forward that wireframes to Emma?,action_item,SPEAKER_04,0,0,0
It's agreed that we will verify the budget.,decision,SPEAKER_01,0,0,0
Moving on to the definitely budget.,topic,SPEAKER_00,0,0,0
Let's kind of talk about the code approach.,topic,SPEAKER_03,0,0,0
I am not sure if actually I can finish it.,general,SPEAKER_04,0,0,0
They always create the campaign late.,general,SPEAKER_01,0,0,0
Make sure to deliver the code by Wednesday.,action_item,SPEAKER_00,0,0,0
Could like you please forward that campaign to Priya?,action_item,SPEAKER_03,0,0,0
We need to cover the you know slides.,general,SPEAKER_04,0,0,0
This must be actually ready by Wednesday.,action_item,SPEAKER_01,0,0,0
Regarding probably the architecture design.,topic,SPEAKER_03,0,0,0
Turning our you know attention to the report.,topic,SPEAKER_03,0,0,0
The design schedule just ends on Monday.,decision,SPEAKER_02,0,0,0
The deadline for the report is next week.,deadline_mention,SPEAKER_02,0,0,0
The deadline for the slides is end of like week.,deadline_mention,SPEAKER_04,0,0,0
Make sure to deliver the copy by next week.,action_item,SPEAKER_01,0,0,0
"Sarah, maybe deliver the architecture today.",action_item,SPEAKER_00,0,0,0
We settled on like option John.,decision,SPEAKER_04,0,0,0
Regarding the report kind of design.,topic,SPEAKER_03,0,0,0
Make sure to create the code before probably next week.,action_item,SPEAKER_02,0,0,0
"Sarah, verify the campaign today.",action_item,SPEAKER_03,0,0,0
The decision is just to create the copy.,decision,SPEAKER_01,0,0,0
The target delivery kind of is tomorrow.,deadline_mention,SPEAKER_03,0,0,0
Cutoff for maybe the copy is Tuesday.,deadline_mention,SPEAKER_00,0,0,0
This must probably be ready by Tuesday.,deadline_mention,SPEAKER_04,0,0,0
I don't think we need to send the like campaign.,general,SPEAKER_03,0,0,0
I need you to check this actually plan.,action_item,SPEAKER_01,0,0,0
We have decided I mean to go with the new architecture.,decision,SPEAKER_03,0,0,0
We expect the architecture by Thursday.,deadline_mention,SPEAKER_00,0,0,0
Cutoff for the like wireframes is Friday.,deadline_mention,SPEAKER_00,0,0,0
It is due end like of week.,deadline_mention,SPEAKER_03,0,0,0
The next agenda item is probably the report plan.,topic,SPEAKER_02,0,0,0
It is due probably Tuesday.,deadline_mention,SPEAKER_01,0,0,0
I don't think just we need to check the slides.,general,SPEAKER_00,0,0,0
It's agreed that we will send just the slides.,decision,SPEAKER_01,0,0,0
So we're going with the new probably architecture.,decision,SPEAKER_02,0,0,0
We expect the you know slides by Monday.,deadline_mention,SPEAKER_01,0,0,0
We you know expect the slides by EOD.,deadline_mention,SPEAKER_04,0,0,0
We have decided to go actually with the new campaign.,decision,SPEAKER_01,0,0,0
We're choosing the architecture I mean approach.,decision,SPEAKER_04,0,0,0
The decision is actually to verify the campaign.,decision,SPEAKER_04,0,0,0
The design schedule ends on maybe Thursday.,general,SPEAKER_02,0,0,0
She didn't send the wireframes.,general,SPEAKER_00,0,0,0
I need you to update this copy.,action_item,SPEAKER_01,0,0,0
We are moving forward definitely with the slides plan.,decision,SPEAKER_04,0,0,0
"If you kind of update the slides, let me know.",general,SPEAKER_03,0,0,0
We need to cover the report.,topic,SPEAKER_03,0,0,0
The design like schedule ends on tomorrow.,deadline_mention,SPEAKER_01,0,0,0
We're choosing basically the campaign approach.,decision,SPEAKER_04,0,0,0
It's agreed that we will prepare the wireframes.,decision,SPEAKER_00,0,0,0
The next agenda item I mean is the slides plan.,topic,SPEAKER_00,0,0,0
The decision is to create the plan.,decision,SPEAKER_01,0,0,0
The copy schedule ends on Thursday.,deadline_mention,SPEAKER_03,0,0,0
Let's discuss our decision on the report.,topic,SPEAKER_00,0,0,0
We expect the probably design by Friday.,deadline_mention,SPEAKER_02,0,0,0
Don't forget to send the campaign.,action_item,SPEAKER_03,0,0,0
The target kind of delivery is Wednesday.,deadline_mention,SPEAKER_03,0,0,0
Moving on to the architecture.,topic,SPEAKER_04,0,0,0
We expect the slides by EOD.,deadline_mention,SPEAKER_00,0,0,0
I don't think we kind of need to review the report.,decision,SPEAKER_03,0,0,0
This must you know be ready by Thursday.,deadline_mention,SPEAKER_01,0,0,0
"If you update the just campaign, let me know.",general,SPEAKER_01,0,0,0
I usually update kind of reports on Fridays.,action_item,SPEAKER_03,0,0,0
Could you please forward that report to Nina?,action_item,SPEAKER_03,0,0,0
The target delivery is kind of Thursday.,deadline_mention,SPEAKER_04,0,0,0
We settled on maybe option David.,decision,SPEAKER_01,0,0,0
She didn't definitely deliver the wireframes.,general,SPEAKER_01,0,0,0
Moving probably on to the budget.,topic,SPEAKER_02,0,0,0
The target actually delivery is tomorrow.,general,SPEAKER_01,0,0,0
"If you check the slides, let me know.",general,SPEAKER_04,0,0,0
Let's talk basically about the slides approach.,topic,SPEAKER_02,0,0,0
It you know is due Friday.,action_item,SPEAKER_02,0,0,0
Let's discuss our decision on maybe the plan.,topic,SPEAKER_00,0,0,0
We expect I mean the slides by Wednesday.,deadline_mention,SPEAKER_00,0,0,0
Cutoff for the plan is Wednesday.,deadline_mention,SPEAKER_00,0,0,0
I usually create reports on I mean Fridays.,general,SPEAKER_00,0,0,0
Make sure to deliver the copy by Wednesday.,action_item,SPEAKER_02,0,0,0
Make sure like to check the wireframes before Monday.,action_item,SPEAKER_02,0,0,0
Did I mean Mike deliver the design?,general,SPEAKER_04,0,0,0
Please prepare the code by tomorrow.,action_item,SPEAKER_04,0,0,0
Turning our just attention to the wireframes.,topic,SPEAKER_03,0,0,0
To verify the code takes a lot of time.,general,SPEAKER_02,0,0,0
To update the slides takes a lot of time.,general,SPEAKER_00,0,0,0
To create the copy takes a lot of time.,general,SPEAKER_00,0,0,0
Moving kind of on to the code.,topic,SPEAKER_02,0,0,0
We're probably choosing the architecture approach.,decision,SPEAKER_03,0,0,0
The deadline for the definitely code is Tuesday.,general,SPEAKER_04,0,0,0
The you know decision is to create the design.,decision,SPEAKER_02,0,0,0
Make just sure to deliver the report by EOD.,topic,SPEAKER_00,0,0,0
We probably have decided to go with the new wireframes.,general,SPEAKER_04,0,0,0
I need actually you to create this campaign.,topic,SPEAKER_03,0,0,0
Please finish kind of the design by Thursday.,action_item,SPEAKER_02,0,0,0
We need to cover the plan.,topic,SPEAKER_02,0,0,0
Please create the copy by next week.,action_item,SPEAKER_04,0,0,0
The report schedule ends on Thursday.,deadline_mention,SPEAKER_03,0,0,0
Make sure to create the copy before Thursday.,action_item,SPEAKER_02,0,0,0
We have decided to go with just the new code.,decision,SPEAKER_02,0,0,0
I need you to finish this report.,action_item,SPEAKER_03,0,0,0
To draft the kind of copy takes a lot of time.,general,SPEAKER_03,0,0,0
Let's talk about the campaign approach.,topic,SPEAKER_03,0,0,0
They always create the plan late.,general,SPEAKER_00,0,0,0
Let's basically discuss our decision on the code.,topic,SPEAKER_04,0,0,0
The deadline for the report kind of is Friday.,deadline_mention,SPEAKER_01,0,0,0
It is due I mean Wednesday.,deadline_mention,SPEAKER_00,0,0,0
The definitely target delivery is Thursday.,deadline_mention,SPEAKER_03,0,0,0
We are moving forward with just the architecture plan.,decision,SPEAKER_04,0,0,0
The definitely next agenda item is the slides plan.,topic,SPEAKER_02,0,0,0
Turning our attention to you know the campaign.,topic,SPEAKER_02,0,0,0
The probably target delivery is Monday.,deadline_mention,SPEAKER_00,0,0,0
I need you to update this slides.,action_item,SPEAKER_01,0,0,0
Let's talk about the wireframes kind of approach.,topic,SPEAKER_03,0,0,0
It's agreed that just we will prepare the budget.,decision,SPEAKER_04,0,0,0
They always prepare the report late.,general,SPEAKER_02,0,0,0
I don't think we need to update the campaign.,general,SPEAKER_04,0,0,0
We settled on basically option Raj.,action_item,SPEAKER_00,0,0,0
Please finish the report by tomorrow.,decision,SPEAKER_02,0,0,0
Could maybe you please forward that slides to Raj?,action_item,SPEAKER_00,0,0,0
"If you finish the like copy, let me know.",general,SPEAKER_02,0,0,0
This kind of must be ready by tomorrow.,deadline_mention,SPEAKER_00,0,0,0
It is due Friday.,deadline_mention,SPEAKER_01,0,0,0
The decision is to draft the design.,decision,SPEAKER_04,0,0,0
We need to cover the slides.,topic,SPEAKER_01,0,0,0
It is I mean due Thursday.,deadline_mention,SPEAKER_04,0,0,0
The code schedule ends on Friday.,deadline_mention,SPEAKER_04,0,0,0
I don't just think we need to review the architecture.,general,SPEAKER_01,0,0,0
Moving like on to the slides.,topic,SPEAKER_04,0,0,0
Let's talk about the design approach.,topic,SPEAKER_00,0,0,0
We are moving forward with the wireframes plan.,decision,SPEAKER_04,0,0,0
The design schedule ends on Wednesday.,deadline_mention,SPEAKER_04,0,0,0
I usually finish basically reports on Fridays.,decision,SPEAKER_04,0,0,0
Please I mean prepare the wireframes by Thursday.,action_item,SPEAKER_01,0,0,0
Our final choice maybe is the slides design.,decision,SPEAKER_02,0,0,0
We settled on basically option Priya.,decision,SPEAKER_02,0,0,0
They always review the code I mean late.,general,SPEAKER_01,0,0,0
I need you to prepare this report.,deadline_mention,SPEAKER_04,0,0,0
They always you know send the wireframes late.,general,SPEAKER_00,0,0,0
We need to kind of cover the report.,general,SPEAKER_02,0,0,0
"If you basically finish the copy, let me know.",general,SPEAKER_04,0,0,0
The decision is to finish the campaign.,deadline_mention,SPEAKER_02,0,0,0
We expect the wireframes probably by tomorrow.,deadline_mention,SPEAKER_00,0,0,0
Moving on probably to the copy.,topic,SPEAKER_02,0,0,0
Regarding the slides kind of design.,topic,SPEAKER_03,0,0,0
Turning our kind of attention to the copy.,topic,SPEAKER_01,0,0,0
They always I mean finish the budget late.,general,SPEAKER_03,0,0,0
She you know didn't send the copy.,general,SPEAKER_03,0,0,0
"John, I mean draft the code today.",action_item,SPEAKER_00,0,0,0
We're choosing the code probably approach.,decision,SPEAKER_02,0,0,0
Please prepare the wireframes by Tuesday.,action_item,SPEAKER_02,0,0,0
Cutoff for the wireframes is Tuesday.,deadline_mention,SPEAKER_01,0,0,0
She didn't deliver the slides.,general,SPEAKER_01,0,0,0
They always just verify the slides late.,general,SPEAKER_01,0,0,0
I don't think we need to deliver the campaign.,general,SPEAKER_01,0,0,0
Did Nina kind of review the slides?,general,SPEAKER_00,0,0,0
We're choosing the architecture just approach.,decision,SPEAKER_00,0,0,0
The next agenda item is the I mean plan plan.,topic,SPEAKER_03,0,0,0
We settled on option David.,deadline_mention,SPEAKER_04,0,0,0
The code basically schedule ends on Tuesday.,deadline_mention,SPEAKER_02,0,0,0
The deadline for the campaign is Wednesday.,deadline_mention,SPEAKER_03,0,0,0
Moving on kind of to the report.,topic,SPEAKER_04,0,0,0
This must be ready by end I mean of week.,deadline_mention,SPEAKER_02,0,0,0
Did David draft actually the copy?,general,SPEAKER_01,0,0,0
The budget you know schedule ends on Thursday.,deadline_mention,SPEAKER_04,0,0,0
Can John just update the report?,action_item,SPEAKER_03,0,0,0
We just have decided to go with the new report.,decision,SPEAKER_01,0,0,0
Did David review the slides?,general,SPEAKER_01,0,0,0
The plan schedule ends actually on Thursday.,deadline_mention,SPEAKER_03,0,0,0
We need to cover the like budget.,topic,SPEAKER_01,0,0,0
It's agreed that we will prepare like the wireframes.,decision,SPEAKER_03,0,0,0
Make sure to update the code before next week.,action_item,SPEAKER_04,0,0,0
Regarding the plan just design.,topic,SPEAKER_00,0,0,0
We have decided to you know go with the new campaign.,decision,SPEAKER_00,0,0,0
Don't forget to check definitely the wireframes.,action_item,SPEAKER_01,0,0,0
Let's discuss our decision on just the plan.,topic,SPEAKER_00,0,0,0
This you know must be ready by Monday.,deadline_mention,SPEAKER_03,0,0,0
Make sure to verify the design basically before Tuesday.,action_item,SPEAKER_03,0,0,0
The main maybe topic today is the design.,topic,SPEAKER_03,0,0,0
She didn't finish the basically design.,general,SPEAKER_00,0,0,0
We you know settled on option John.,decision,SPEAKER_03,0,0,0
Please update the wireframes by Tuesday.,action_item,SPEAKER_01,0,0,0
Our final maybe choice is the wireframes design.,decision,SPEAKER_04,0,0,0
